,win,one1,one2,one3,one4,one5,two1,two2,two3,two4,two5
0,1,MonkeyKing,Talon,Veigar,Vayne,Soraka,Chogath,Lillia,Brand,Varus,Alistar
1,0,Yorick,Viego,TwistedFate,Xayah,Lissandra,Sion,Vi,Sylas,Kaisa,Renata
2,0,Fiora,Viego,Pyke,Ziggs,Yuumi,Garen,Rengar,Zed,Caitlyn,Leona
3,0,Mordekaiser,Shaco,Kindred,Vayne,Swain,Ornn,Maokai,Malzahar,Tristana,Seraphine
4,1,Gangplank,Warwick,Diana,Ashe,Xerath,Nasus,Samira,Yone,Jhin,Seraphine
5,1,Neeko,Sett,Nami,Zeri,Ziggs,Karthus,Yasuo,Ashe,Renekton,Sejuani
6,0,Mordekaiser,Talon,Vladimir,Ezreal,Karma,Rengar,Taliyah,Jayce,Tristana,Renata
7,1,Rumble,Hecarim,Irelia,Ashe,Brand,MonkeyKing,Gragas,Yasuo,MissFortune,Yuumi
8,1,Graves,Talon,Gangplank,Twitch,Lulu,Fiora,Nidalee,Anivia,Jhin,Pyke
9,0,Singed,MasterYi,Malzahar,Caitlyn,Nautilus,Kled,Udyr,Zoe,Ezreal,Bard
10,0,Akali,LeeSin,Yone,Ezreal,Yuumi,Sett,Nunu,Lissandra,Kalista,Lux
11,1,Riven,Rammus,Azir,Ezreal,Seraphine,Shen,Volibear,Yone,Kaisa,Morgana
12,1,Kayle,Taliyah,Neeko,Samira,Lux,Fiora,MonkeyKing,Annie,Seraphine,Senna
13,0,Neeko,Diana,Brand,Jhin,Xerath,Vladimir,Shyvana,Corki,Ashe,Nami
14,1,Nasus,Rammus,Gangplank,Tristana,Leona,Mordekaiser,Trundle,Ezreal,Leblanc,Nautilus
15,1,Ornn,Graves,Qiyana,Ezreal,Lissandra,Warwick,Gwen,Yasuo,Samira,Rell
16,1,Ornn,MasterYi,Swain,Jinx,Sona,Olaf,Zac,Kayle,Zeri,Lulu
17,1,Aatrox,Rengar,Azir,Tristana,Zilean,Urgot,Khazix,Zed,Kaisa,Swain
18,0,Singed,Volibear,Annie,Vayne,Veigar,Trundle,Nidalee,Anivia,Ashe,Pantheon
19,0,Jax,Amumu,Viktor,Kaisa,Senna,Garen,Nocturne,Malzahar,Jinx,Janna
20,1,Mordekaiser,Viego,Zed,Twitch,Lux,Tryndamere,Kayn,Azir,Kaisa,Seraphine
21,0,Kayle,Shyvana,Chogath,Tristana,Leona,Irelia,Karthus,Leblanc,Senna,MissFortune
22,0,Irelia,Karthus,Qiyana,Tristana,Morgana,Kayle,Zac,Pantheon,Caitlyn,Senna
23,0,Mordekaiser,RekSai,Lux,Ziggs,Yuumi,Rengar,Nocturne,Karthus,Ezreal,Soraka
24,1,Kayle,Viego,Irelia,Tristana,Brand,Nasus,Graves,Lux,Lucian,Senna
25,0,Illaoi,MonkeyKing,Katarina,Samira,Nami,Akali,Diana,Corki,Kaisa,Thresh
26,0,Fiora,Warwick,Lissandra,Ezreal,Janna,Nasus,Nocturne,Swain,Jinx,Brand
27,1,RekSai,MonkeyKing,Leblanc,Caitlyn,Thresh,Fiora,Sejuani,Yone,Xayah,Karma
28,0,Volibear,Kayn,Cassiopeia,Jhin,Soraka,Irelia,Jax,Ahri,Tristana,Velkoz
29,1,Fiora,Rammus,Malzahar,Samira,Nautilus,Shen,Udyr,Veigar,Vayne,Lux
30,1,Volibear,Lillia,Gragas,Kaisa,Nami,Fiora,Graves,Leblanc,Aphelios,Zilean
31,0,Singed,Kayn,Viktor,Jhin,Seraphine,Nasus,Viego,Graves,Ezreal,Zilean
32,1,Illaoi,Khazix,Katarina,Ashe,Braum,Sion,Shen,Zed,Kaisa,Swain
33,0,Irelia,Zac,Vex,Xayah,Nautilus,Darius,Shaco,Swain,MissFortune,Sona
34,1,Quinn,FiddleSticks,Olaf,Jhin,TahmKench,Ornn,Viego,Zac,Kaisa,Xerath
35,1,Shen,MasterYi,TwistedFate,Caitlyn,Sona,Illaoi,MonkeyKing,Yasuo,Jhin,Nautilus
36,0,Gangplank,Diana,Nasus,Xayah,Leona,Fiora,JarvanIV,Akshan,MissFortune,Nautilus
37,1,Chogath,Nocturne,Veigar,Vayne,Thresh,MonkeyKing,Amumu,Ahri,Jhin,Pyke
38,0,Teemo,Volibear,Lissandra,Jinx,Poppy,Yorick,Rengar,Zed,Jhin,Pyke
39,0,Yone,Kayn,Viego,Ashe,Zilean,Lillia,Vi,Akali,Swain,Senna
40,0,Renekton,Shyvana,Tristana,Kaisa,Lux,Jax,Graves,Katarina,Veigar,Nami
41,0,Jax,Viego,Ezreal,Ryze,Swain,Garen,Diana,Mordekaiser,Jhin,Lux
42,1,Olaf,FiddleSticks,Yasuo,Ezreal,Leona,Teemo,Volibear,Corki,Vayne,Janna
43,0,Sett,Volibear,Gragas,Brand,Nami,Darius,Vi,Velkoz,Kaisa,Janna
44,0,Darius,Twitch,Velkoz,Caitlyn,Renata,Vladimir,Vayne,Corki,LeeSin,Lulu
45,0,Akshan,Hecarim,Malzahar,MissFortune,Sona,Fiora,Zac,Viktor,Ashe,Leona
46,0,Akshan,Shyvana,Malzahar,Kindred,Nami,Lillia,Amumu,Akali,Twitch,Brand
