,player_team,win,one1,one2,one3,one4,one5,two1,two2,two3,two4,two5
0,0,1,Darius,Gwen,Zed,Tristana,Blitzcrank,Nasus,JarvanIV,TahmKench,Ahri,Senna
1,1,0,Fiora,Viego,Kayle,Jhin,Morgana,Renekton,Lillia,Lux,Twitch,Pyke
2,0,0,Garen,Pantheon,Viktor,Jinx,Senna,DrMundo,Viego,Lissandra,Kaisa,Renata
3,0,1,Gwen,Warwick,Zed,Caitlyn,Lux,Kayle,Diana,Lissandra,TahmKench,Kaisa
4,1,1,Lillia,Olaf,Viktor,Aphelios,Morgana,Singed,Twitch,TwistedFate,Kaisa,Lulu
5,0,1,Riven,Shyvana,Xerath,Ezreal,Illaoi,Darius,Khazix,Viktor,Ashe,Nautilus
6,0,1,Swain,Viego,Xerath,Seraphine,Senna,Malphite,Rengar,Syndra,Janna,KogMaw
7,0,0,Yorick,Udyr,Cassiopeia,Lucian,Nami,Olaf,Nocturne,Ashe,TahmKench,Senna
8,0,0,Trundle,Graves,Akshan,Jinx,Brand,Jax,Volibear,Yone,TahmKench,Senna
9,1,1,Illaoi,Jax,Viktor,KogMaw,Blitzcrank,Veigar,Zac,Irelia,Jinx,Thresh
10,0,1,Darius,MonkeyKing,Lissandra,Jinx,Lux,Urgot,Nunu,Brand,Kaisa,Senna
11,0,1,Sion,Khazix,Ahri,Samira,Senna,Singed,Graves,Orianna,Vayne,Sona
12,0,0,Irelia,XinZhao,Taliyah,Jhin,Zyra,Darius,Khazix,Viktor,Caitlyn,Janna
13,0,0,Darius,Volibear,Brand,Jinx,Zyra,Ornn,Taliyah,Ahri,KogMaw,Janna
14,0,1,Soraka,Viego,Ahri,Jhin,Sylas,Camille,Graves,Viktor,Kaisa,Janna
15,1,0,Mordekaiser,Darius,Orianna,Kaisa,Morgana,Kayle,Shaco,Leblanc,MissFortune,Lux
16,0,0,Heimerdinger,Kayn,Zed,Caitlyn,Yuumi,Ornn,Viego,Annie,Kaisa,Lulu
17,0,0,Mordekaiser,LeeSin,Yasuo,Lucian,Nami,Malphite,Camille,Taliyah,Kaisa,Senna
18,0,1,Riven,Graves,Akali,Jinx,Brand,Lillia,MasterYi,Zilean,Kaisa,Seraphine
19,0,1,DrMundo,Viego,Veigar,Swain,Senna,Garen,Trundle,Katarina,Kaisa,Sona
20,0,0,Lulu,Graves,Lux,Jhin,Taric,Maokai,Olaf,Singed,Kaisa,Senna
21,0,0,Nasus,Ekko,Diana,Aphelios,Leona,Kayle,Viego,Viktor,Jinx,Thresh
22,0,0,Gangplank,Camille,Viktor,Twitch,Lulu,JarvanIV,Volibear,Tristana,Jinx,Renata
23,0,1,Yorick,Rengar,Yasuo,Heimerdinger,Lulu,Yone,JarvanIV,Viktor,Tristana,Blitzcrank
24,1,1,Aatrox,Diana,Yasuo,Yone,Brand,Fiora,Rengar,Vladimir,Jinx,Blitzcrank
25,0,0,Garen,Sejuani,Zoe,MissFortune,Thresh,Teemo,Ekko,Yone,TahmKench,Senna
26,0,0,Yasuo,Gragas,Kayle,MissFortune,Zoe,Nasus,Kayn,Veigar,Kaisa,Shaco
27,1,1,Riven,Kayn,Akali,Kaisa,Pantheon,Mordekaiser,JarvanIV,Xerath,Jhin,Karma
28,0,0,Kled,Amumu,Malzahar,Jhin,Renata,Gangplank,MasterYi,Karma,Kaisa,Zilean
29,1,1,Gnar,Olaf,Taliyah,Kaisa,Zac,Sion,Warwick,Viktor,MissFortune,Lux
30,0,0,Karma,Kayn,Brand,Varus,TahmKench,Gangplank,Warwick,Fizz,Kaisa,Yuumi
31,1,0,Kled,Warwick,Viktor,Twitch,Lulu,Mordekaiser,Volibear,Talon,Ezreal,Lux
32,0,0,Garen,Viego,Taliyah,Kaisa,Renata,TahmKench,Graves,Viktor,Samira,Karma
33,1,1,Quinn,Ezreal,Viktor,LeeSin,Soraka,Aatrox,Zac,Malzahar,Rell,Swain
34,1,1,Olaf,LeeSin,Viktor,Jhin,Ziggs,Teemo,Amumu,Tristana,Samira,Xerath
35,1,0,Aatrox,MasterYi,Taliyah,Caitlyn,Senna,Shen,Kayn,Zilean,Jhin,Lux
36,0,0,Mordekaiser,Shyvana,Sylas,Ezreal,Nidalee,Irelia,FiddleSticks,Taliyah,Kaisa,Nautilus
37,1,0,Akshan,Kayn,Vladimir,Jhin,Thresh,Yasuo,Zac,Azir,Vayne,Pyke
38,0,1,Gangplank,Graves,Syndra,Jhin,Swain,Aatrox,Ahri,JarvanIV,Ezreal,Zyra
39,1,1,Darius,JarvanIV,Fizz,Kaisa,Pyke,Fiora,Diana,Talon,Lux,Senna
40,1,0,Rengar,Viego,Morgana,Ezreal,Nautilus,Ornn,Ivern,Fizz,Jhin,Sett
41,1,0,Volibear,Karthus,Kayle,Jhin,Sett,MonkeyKing,Kayn,Taliyah,Sivir,Rakan
42,1,1,Ashe,Graves,Viktor,Maokai,Senna,Volibear,Ekko,Sylas,Ezreal,Yuumi
43,0,0,Jax,Kayn,Quinn,Kaisa,Zyra,Darius,JarvanIV,Swain,Zeri,Blitzcrank
44,1,1,Olaf,Zeri,Irelia,Brand,Sylas,Blitzcrank,Aphelios,Ahri,Diana,MonkeyKing
45,1,0,Riven,LeeSin,Swain,Zeri,Blitzcrank,Volibear,Viego,Ahri,Vayne,Nami
